"Answer Reply","Customer Question","Product","Version"
"a. Search email
b. Select
c. Click the arrow button to move it right.","How can I move addresses to the moderated list","Mail Server","3.9.0"
"To control or review emails sent from specific users.","Why do outgoing moderation rules exist","Mail Server","3.9.0"
"a. Choose “Moderate mails for all except below destination addresses”.
b. Add exceptions.
c. Move them to right list.","How can I moderate all outgoing mails except selected ones","Mail Server","3.9.0"
"Invalid format (must follow email@domain.com
).

Duplicate entry.","Why am I unable to add an email to moderation","Mail Server","3.9.0"
"a. Select all from the right box.
b. Move them left using the arrows.","How can I clear all moderated addresses","Mail Server","3.9.0"
"To keep a copy of all their incoming mails in another mailbox.","Why would I enable incoming monitoring for a user","Mail Server","3.9.0"
"Monitoring copies all incoming mail to the address entered.","Why does “Incoming To” require an email address","Mail Server","3.9.0"
"a. Check both Incoming Monitoring and Outgoing Monitoring.
b. Enter emails in both fields.","How can I monitor both incoming & outgoing mails","Mail Server","3.9.0"
"a. Open Monitor / Forward.
b. Find the user rule.
c. Click Delete action.","How can I disable monitoring for a user","Mail Server","3.9.0"
"Monitoring is currently active for that user.","Why do I see “Yes” under the monitoring column","Mail Server","3.9.0"
"a. Enable only Outgoing Monitoring.
b. Leave “Incoming Monitoring” unchecked.","How can I forward only outgoing mails","Mail Server","3.9.0"
"It defines who belongs to the group and receives messages.","Why do mail groups have a Members section","Mail Server","3.9.0"
"a. Enter external email in the text box.
b. Click ADD.
c. Move it to the right box.","How can I add external members to a Mail Group","Mail Server","3.9.0"
"To include every mailbox in the domain automatically.","Why is “All domain users” an option","Mail Server","3.9.0"
"a. Choose Selected under “Who can send mail to this group”.
b. Add users to the right side.","How can I allow only selected users to send emails to the group","Mail Server","3.9.0"
"Useful for public communication emails.","Why is “Anyone” allowed to send mail to the group","Mail Server","3.9.0"
"a. Select All group members under “Who can send mail using this group as origin”.","How can I restrict mail origin to group members only","Mail Server","3.9.0"
"Left = available users

Right = selected users","Why does the group creation page show dual list boxes","Mail Server","3.9.0"
"a. Select user in right box.
b. Move left using arrow.","How can I remove a user from the group","Mail Server","3.9.0"
"To let multiple users access a common mailbox (e.g., support@).","Why create a shared mailbox","Mail Server","3.9.0"
"a. Go to Shared Mailbox.
b. Enter mailbox name.
c. Select an admin.
d. Click Save.","How can I create a new shared mailbox","Mail Server","3.9.0"
"Admin manages permissions and mailbox settings.","Why must an admin be assigned to a shared mailbox","Mail Server","3.9.0"
"a. Open Shared Mailbox.
b. Click delete icon.","How can I delete a shared mailbox","Mail Server","3.9.0"
"No shared mailboxes exist yet — create one using the form.","Why is shared mailbox empty list shown","Mail Server","3.9.0"
"Create mailbox → add additional admins from mailbox settings.","How can I assign multiple admins","Mail Server","3.9.0"
"Without a name, the system cannot create the email identity.","Why is mailbox name mandatory","Mail Server","3.9.0"
"a. Edit the mailbox entry.
b. Update the mailbox field.
c. Save.","How can I rename a shared mailbox later","Mail Server","3.9.0"
"a. The receiving server is rejecting the message temporarily.
b. The system retries based on its retry timer.
c. Each retry attempt is logged under DelayReason.
d. The mail will deliver once the remote server accepts it.","Why does a queued mail show multiple retry attempts","Mail Server","3.9.0"
"a. Open Mail Queue.
b. Find the mail in the list.
c. Read the DelayReason column.
d. Expand details if needed.","How can I check the remote server’s rejection message for a mail","Mail Server","3.9.0"
"a. Recipient server might be greylisting.
b. Reputation or throttling may apply.
c. DNS or MX issues may exist at receiver end.
d. Large attachments may slow delivery.","Why do mails stay in queue for long durations","Mail Server","3.9.0"
"a. Go to Mail To search box.
b. Enter domain (e.g., @outlook.com).
c. Click Search.
d. Queue will list only matching mails.","How can I filter the queue by recipient domain","Mail Server","3.9.0"
"a. Helps identify heavy emails.
b. Large emails can cause delivery delays.
c. Filters can be applied based on size.
d. Admins can delete oversized mails easily.","Why is the size column important in the queue","Mail Server","3.9.0"
"a. Open Mail Queue.
b. Click download icon in “Actions.”
c. Save file to system.
d. Open in text editor.","How can I download the raw source of a queued email","Mail Server","3.9.0"
"a. System is waiting for retry interval.
b. Remote server is not currently accepting.
c. Email is still valid for redelivery.
d. Message is not yet expired.","Why do some emails show “Queued for delivery”","Mail Server","3.9.0"
"a. Search that domain.
b. Select results.
c. Click Delete All.
d. Confirm action.","How can I permanently remove all emails to a specific domain","Mail Server","3.9.0"
"a. Indicates when queue was last refreshed.
b. Helps track real-time updates.
c. Alerts if queue is not auto-refreshing.
d. Useful for troubleshooting.","Why does the queue show “Last Updated” timestamp","Mail Server","3.9.0"
"a. Select particular mails.
b. Click Release Selected.
c. Confirm release.
d. Wait for system retry.","How can I reprocess only selected mails","Mail Server","3.9.0"
"a. Check DelayReason in queue.
b. Look for terms like “IP reputation.”
c. Compare rejection patterns.
d. Verify with external reputation tools.","How can I detect if my IP reputation is low","Mail Server","3.9.0"
"a. Microsoft applies strict throttling.
b. Bulk sending triggers rate limits.
c. New IPs require warmup.
d. Reputation fluctuations delay delivery.","Why do emails to Microsoft domains often get delayed","Mail Server","3.9.0"
"a. View “Updated At” timestamp.
b. Click refresh icon.
c. Recheck listed mails.
d. Monitor for changes.","How can I check queue status without refreshing the browser","Mail Server","3.9.0"
"a. For manual inspection of headers.
b. Helps audit spam issues.
c. Useful for debugging DKIM/SPF failures.
d. Required for compliance checks.","Why does the queue allow individual message download","Mail Server","3.9.0"
"a. Sort by Size column.
b. Scroll to top/bottom.
c. Evaluate large mail entries.
d. Delete if needed.","How can I view only large mails","Mail Server","3.9.0"
"a. Check its timestamp.
b. Compare lifetime of queued mail.
c. Review DelayReason.
d. See whether system continues retry attempts.","How can I check if the mail is still valid for retry","Mail Server","3.9.0"
"a. To prevent misuse between departments.
b. To control sensitive information.
c. To track communication paths.
d. To avoid unauthorized sending.","Why do we use moderation for internal mails","Mail Server","3.9.0"
"a. Choose “Moderate for all except below addresses.”
b. Move allowed emails to the right.
c. Save rule.
d. Test by sending mail.","How can I allow only selected addresses to bypass moderation","Mail Server","3.9.0"
"a. Helps find specific emails faster.
b. Useful for large organizations.
c. Speeds up moderation rule setup.
d. Reduces scrolling.","Why does the moderation panel have search boxes","Mail Server","3.9.0"
"a. Open Domain Moderation.
b. Disable moderation checkboxes.
c. Remove moderated addresses.
d. Save.","How can I disable all moderation rules for a domain","Mail Server","3.9.0"
"a. Incorrect format causes rule failure.
b. System won’t save malformed emails.
c. Ensures proper routing.
d. Maintains consistency.","Why must moderated addresses be in correct format","Mail Server","3.9.0"
"a. Select items in left box.
b. Use arrow button.
c. Move them right.
d. Save.","How can I copy multiple addresses into moderated list","Mail Server","3.9.0"
"a. Applies instantly to all users.
b. Reduces individual rule setup.
c. Ensures broad compliance.
d. Easier management for admins.","Why is domain-level moderation more powerful","Mail Server","3.9.0"
"a. Enable “Outgoing Mail Moderation.”
b. Add allowed recipients.
c. Save settings.
d. Test sending.","How can I limit outgoing mails from a user","Mail Server","3.9.0"
"a. User tab applies to single mailbox.
b. Domain tab applies to all mailboxes.
c. Prevents confusion.
d. Allows clear management.","Why does moderation show “User” and “Domain” tabs separately","Mail Server","3.9.0"
"a. Remove all emails from right box.
b. Disable moderation.
c. Save changes.
d. Refresh panel.","How can I clear and reset moderation settings","Mail Server","3.9.0"
"a. To monitor email behavior.
b. To prevent accidental external emails.
c. To apply controlled access.
d. To maintain audit compliance.","Why is moderation recommended for new employees","Mail Server","3.9.0"
"a. Stops compromised accounts from mass sending.
b. Prevents distribution of harmful attachments.
c. Restricts external broadcast.
d. Keeps server reputation clean.","Why does moderating outgoing help prevent spam","Mail Server","3.9.0"
"a. To track communication quality.
b. To ensure policies are followed.
c. To review client interactions.
d. To maintain records.","Why enable mail monitoring for critical departments","Mail Server","3.9.0"
"a. Create a new rule.
b. Enable Incoming To checkbox.
c. Enter forwarding email.
d. Save.","How can I forward all incoming mails of a user","Mail Server","3.9.0"
"a. Edit rule.
b. Uncheck forwarding email.
c. Keep monitoring toggles ON.
d. Save.","How can I disable forwarding but keep monitoring","Mail Server","3.9.0"
"a. Edit rule.
b. Uncheck forwarding email.
c. Keep monitoring toggles ON.
d. Save.","How can I disable forwarding but keep monitoring","Mail Server","3.9.0"
"a. Admins may want only one direction.
b. Provides flexibility.
c. Reduces unnecessary data.
d. Helps targeted auditing.","Why are incoming and outgoing monitoring separate","Mail Server","3.9.0"
"a. Check if the Ratelimit Type is set to Mail.
b. Ensure the user exists in the Mail Users list.
c. Reload the page to refresh the user dropdown.
d. Try creating the ratelimit again","Why am I unable to select a user while creating a ratelimit","Mail Server","3.9.0"
"a. Open the Create Ratelimit popup.
b. Set Ratelimit Mails (e.g., 1000).
c. Enter the interval value (1).
d. Choose Days as the interval unit and save.","How to set a daily sending limit for a user","Mail Server","3.9.0"
"a. Check if the interval unit is correct (e.g., Minutes vs Hours).
b. Ensure the limit is higher than current usage.
c. Confirm the changes were saved successfully.
d. Allow a few seconds for the new limit to apply.","Why is the system still blocking mails even after I increased the ratelimit","Mail Server","3.9.0"
"a. Each entry corresponds to one ratelimit rule.
b. Users may have limits for various intervals (e.g., per day + per minute).
c. Review each rule separately.
d. Delete or merge rules if needed.","Why does the Ratelimit list show users multiple times","Mail Server","3.9.0"
"a. Review existing limits in the Ratelimit list.
b. Ensure the mails value is appropriate.
c. Avoid extremely small interval units.
d. Adjust or delete overly strict rules.","How to prevent accidental blocking due to low ratelimit values","Mail Server","3.9.0"
"a. The interval unit is a mandatory field.
b. System needs both value and unit to calculate window.
c. Select Seconds/Minutes/Hours/Days.
d. Click Create once all fields are filled.","Why can’t I save a ratelimit without selecting an interval unit","Mail Server","3.9.0"
"a. Check the user’s entries in the Ratelimit list.
b. Compare Mails and Interval settings.
c. Look for low limits like ""10 / 1m"".
d. Modify the relevant rule.","How to identify which ratelimit rule is blocking a user","Mail Server","3.9.0"
"a. Ratelimit block is rule-based.
b. Removing the rule clears restrictions.
c. User’s sending quota resets.
d. System resumes normal delivery.","Why does deleting a ratelimit immediately allow sending mails again","Mail Server","3.9.0"
"","","Mail Server",""
"a. The priority defines how strongly the rule overrides other filters.
b. Lower number = stronger priority; higher number = weaker priority.
c. It helps the system decide filter execution order.
d. It ensures the correct rule wins against conflicting ones.","Why does the Whitelist-Blacklist form show a priority dropdown from 1–10","Mail Server","3.9.0"
"a. Open the Whitelist-Blacklist creation popup.
b. Locate the dropdown labeled Whitelist / Blacklist.
c. Choose the appropriate category.
d. Save the entry.","How to choose between Whitelist and Blacklist","Mail Server","3.9.0"
"a. It specifies which address the rule applies to.
b. Without it, the filter cannot be applied.
c. The system validates it to prevent empty rules.
d. This ensures accurate spam handling.","Why is the Email/Domain field required in Whitelist-Blacklist","Mail Server","3.9.0"
"a. Open the Whitelist-Blacklist page.
b. Look for the “Active” column.
c. Use the toggle to enable or disable.
d. Save changes if required.","How to enable or disable a Whitelist-Blacklist entry","Mail Server","3.9.0"
"a. Whitelisted addresses are considered safe.
b. The system bypasses spam checks for them.
c. Priority ensures they are evaluated first.
d. This prevents valid emails from being blocked.","Why does a Whitelist entry override Spamfilter rules","Mail Server","3.9.0"
"a. Open Spamfilter → Policy.
b. Click Create.
c. Enter the policy name, levels, and tag methods.
d. Click Create to save.","How to create a new Spamfilter Policy","Mail Server","3.9.0"
"a. Tag method decides how to label spam mails.
b. You can choose Rewrite Subject or Add Header.
c. This helps users identify suspicious emails.
d. It improves inbox clarity.","Why does the Spamfilter Policy require a “Tag Method”","Mail Server","3.9.0"
"a. Go to Create Spamfilter Policy.
b. Enter a value in the greylisting level field.
c. Higher values apply stricter greylisting.
d. Save the policy.","How to configure Rspamd spam greylisting level","Mail Server","3.9.0"
"a. Some mailboxes require all emails without filtering.
b. Enabling these allows bypassing specific filters.
c. Useful for debugging or training.
d. Rarely used for normal users.","Why is there an option for Virus Lover or Spam Lover","Mail Server","3.9.0"
"a. Open Policy Addons in the Policy section.
b. Click Create.
c. Select a name and quota size (MB/GB).
d. Save the addon.","How to create a Policy Addon for quota expansion","Mail Server","3.9.0"
"a. It offers flexible storage upgrade options.
b. Admins can choose according to user requirement.
c. It simplifies mailbox expansion.
d. The system supports multiple quota tiers.","Why does Policy Addons show quotas from 100MB to 100GB","Mail Server","3.9.0"
"a. Open the main policy settings.
b. Choose Addons under Quota if available.
c. Select the addon created earlier.
d. Save the policy.","How to assign a Policy Addon","Mail Server","3.9.0"
"a. The system monitors domain mail-queue thresholds.
b. When exceeded, an alert banner appears.
c. This helps in diagnosing delivery delays.
d. Admins can take action before services slow down.","Why does the domain policy show Mail Queue size warnings","Mail Server","3.9.0"
"a. Open the Policy page.
b. Go to “Restrict mail access from networks”.
c. Enter allowed IP/Network ranges.
d. Save to activate restrictions.","How to configure restriction of mail access by network","Mail Server","3.9.0"
"a. The option limits login to specific networks.
b. Webmail can only be used from allowed IPs.
c. This increases account security.
d. A warning is shown to prevent misconfiguration","Why does enabling network restrictions block webmail access","Mail Server","3.9.0"
"a. Open the policy screen.
b. Enter the number of days in Trash purge field.
c. Set 0 if you want to disable it.
d. Save changes.","How to configure automatic Trash purge","Mail Server","3.9.0"
"a. Open Policy → Create.
b. Enter name, quota, and spamfilter policy.
c. Configure sending/receiving rules.
d. Save the policy.","How to create a new domain-level mail policy","Mail Server","3.9.0"
"a. It controls outgoing communication rules.
b. “Anywhere” allows unrestricted sending.
c. Other modes restrict to listed addresses.
d. Used to prevent data leakage.","Why does Sending Policy show Anywhere/Selected options","Mail Server","3.9.0"
"a. Open Create Policy.
b. Enter email/domains under “Sending policy white-black list”.
c. Choose allow/deny options.
d. Save policy.","How to use a Sending Policy whitelist","Mail Server","3.9.0"
"a. Scroll to Outgoing content filter.
b. Tick file types like ExecutableFiles or ArchiveFiles.
c. Select Reject selected or Reject all except selected.
d. Save the policy.","How to block specific file types in outgoing emails","Mail Server","3.9.0"
"a. Open policy configuration.
b. Find “Move Junk” dropdown.
c. Select Move first or Move after custom filters.
d. Save the setting.","How to change the action order for “Move Junk”","Mail Server","3.9.0"
"a. Use the Per Page dropdown.
b. Select number of items to show.
c. Use pagination arrows to browse.
d. Navigate to desired page.","How to navigate pages in policy lists","Mail Server","3.9.0"
"a. Open Create Policy.
b. Change Sending Policy dropdown to “Selected”.
c. Add permitted addresses.
d. Save.","How to create a policy with selected sending addresses only","Mail Server","3.9.0"
"a. A name identifies the policy.
b. Helps categorize usage.
c. Required for saving.
d. Avoids confusion.","Why does the system require policy name inputs","Mail Server","3.9.0"
"a. To avoid unnecessary restrictions.
b. Some organizations require open rules initially.
c. Admin can enable as needed.
d. Prevents accidental blocking.","Why are content filters disabled by default","Mail Server","3.9.0"
"a. Because Sending Policy controls whether users can send emails internally, externally, or only to selected addresses.
b. It prevents unauthorized outbound communication.
c. It ensures compliance with organizational email rules.","Why does the Policy module require selecting a Sending Policy","Mail Server","3.9.0"
"a. Edit/create the policy.
b. Set Sending Policy → Internal.
c. Save the settings.","How do I allow a user to send emails only within the organization","Mail Server","3.9.0"
"a. To restrict users to a specific list of allowed recipients.
b. Useful for interns, temporary staff, or restricted mailboxes.
c. Helps avoid data leakage.","Why would I use the “Selected” option under Sending Policy","Mail Server","3.9.0"
"a. Go to the White-Black List section.
b. Enter the email/domain in the allowed list.
c. Save the policy.","How do I whitelist an email under the sending policy","Mail Server","3.9.0"
"a. You may have a mail size limit set.
b. Content filters might be blocking specific attachments.
c. A domain might be blacklisted.","Why is my outgoing mail being blocked even when Sending Policy is ‘Anywhere’","Mail Server","3.9.0"
"a. Edit the policy.
b. Set Receiving Policy → Internal.
c. Save the changes.","How do I restrict receiving emails from outside the organization","Mail Server","3.9.0"
"a. It protects mailboxes from external threats.
b. Helps enforce internal communication flows.
c. Allows selective external communication if needed.","Why should I configure a Receiving Policy","Mail Server","3.9.0"
"a. Enable Outgoing max mail size checkbox.
b. Enter 10 in the MB field.
c. Save.","How do I enforce a maximum outgoing mail size of 10 MB","Mail Server","3.9.0"
"a. Incoming max mail size is configured.
b. Mail server applies limits for performance.
c. ISP restrictions may apply.","Why can’t users receive very large emails","Mail Server","3.9.0"
"a. Open Policy.
b. In “Move Junk”, select Move first before custom filters.
c. Save.","How do I set the Junk folder to process spam before custom filters","Mail Server","3.9.0"
"a. Quota may be too low.
b. Trash/Junk might not be purging.
c. Users receive large attachments frequently","Why are user mailboxes filling up quickly","Mail Server","3.9.0"
"a. Edit the policy.
b. Set new value under Quota.
c. Save.","How do I increase mailbox quota for a specific policy","Mail Server","3.9.0"
"a. Edit the Policy.
b. Set Spamfilter Policy → Trigger Happy.
c. Save.","How do I apply a strict spam filter to a user group","Mail Server","3.9.0"
"a. Set Spamfilter Policy → Wants viruses (if your system treats it as stricter).
b. Save.","How do I block virus-infected emails more aggressively","Mail Server","3.9.0"
"a. You may have added it to receiving whitelist but blocked under sending.
b. Another global rule overrides.
c. Content filter may still block attachments.","Why is an email bypassing the whitelist","Mail Server","3.9.0"
"a. Set Receiving Policy → Selected.
b. Add required addresses.
c. Save.","How do I allow selected receiving addresses only","Mail Server","3.9.0"
"a. Because the IP allowed list prevents access outside defined networks.
b. Remove the IP/network or add the user’s IP.
c. Save and retry.","Why is a user locked out of Webmail after applying network restrictions","Mail Server","3.9.0"
"a. Set Receiving Policy → Selected.
b. Add the allowed domain to whitelist.
c. Save.","How do I completely block external emails except from one domain","Mail Server","3.9.0"
"","","Mail Server",""
"a. Open Policy.
b. Create a policy → set direction Incoming.
c. Add sender in “Conditions”.
d. Set action to Reject.","How to block emails from a specific sender","Mail Server","3.9.0"
"a. Go to Policy.
b. Edit/Create rule.
c. Add sender to Allow list.
d. Save.","How to whitelist a sender","Mail Server","3.9.0"
"a. Sender IP reputation is low.
b. DKIM/SPF failure.
c. Check detailed spam score in logs.","Why is a legitimate email marked as spam","Mail Server","3.9.0"
"a. Set spam action to “Move to Spam”.
b. Save the filter.","How to route spam mails to a specific folder","Mail Server","3.9.0"
"a. Destination server accepted the mail.
b. Check recipient mailbox rules.
c. Check spam folder.","Why is mail marked as delivered but not received","Mail Server","3.9.0"
"","","Mail Server",""
"Because no mail matching the selected filters (Mail Type, From, To, Date, Status) exists in the system.","Why does the Technical View show “No data available”","Mail Server","3.9.0"
"a. Open Mail Logs → Technical View

b. Select the Mail logs type dropdown

c. Choose Outgoing or Incoming

d. Click Search","How do I filter logs by mail type in Technical View","Mail Server","3.9.0"
"To ensure filtering is done based on the direction of the mail, improving log accuracy.","Why is the Mail logs type dropdown mandatory","Mail Server","3.9.0"
"a. Select Mail logs type
b. Choose Mail From domain in dropdown
c. Click Search","How do I search mails sent from a specific domain","Mail Server","3.9.0"
"a. Enter email under Mail To
b. Pick a Date
c. Click Search","How do I check mail logs for a particular recipient","Mail Server","3.9.0"
"Because the To field must be typed manually—it does not auto-fill.","Why is the “Mail To"" field empty even after selecting a domain","Mail Server","3.9.0"
"a. Manually clear all filter fields
b. Click Search with empty inputs","How do I reset all filters in Technical View","Mail Server","3.9.0"
"To reduce the log size and load only the relevant day’s email activity.","Why is the date selector required in Technical View","Mail Server","3.9.0"
"After applying search filters, check the Attempts column in the results table.","How do I view mail attempts","Mail Server","3.9.0"
"Check the Queue and Status fields after applying the filters.","How can I track mail delays","Mail Server","3.9.0"
"Use the Last Activity Time column in the results table.","How do I check when a mail was last processed","Mail Server","3.9.0"
"Look at the Relays column in Technical View after searching.","How do I find which relay was used for a message","Mail Server","3.9.0"
"No mails processed for the applied filters.","Why is Start Time not showing","Mail Server","3.9.0"
"Select 25/50/100 from the “Per page” dropdown.","How can I display more results per page","Mail Server","3.9.0"
"Because only one page of results exists.","Why does clicking Next/Previous page do nothing","Mail Server","3.9.0"
"To allow the admin to download SAML configuration files for SSO integration.","Why does the Identity Provider section show a Metadata and Certificate button","Mail Server","3.9.0"
"Click the copy icon next to the URL.","How do I copy the Identity Provider metadata URL","Mail Server","3.9.0"
"Only Tableau Cloud has been registered as an SSO service provider.","Why does the Service Provider table show only one entry","Mail Server","3.9.0"
"a. Click Register
b. Fill Name, Entity ID, ACS URL
c. Set Active = Yes
d. Click Save/Update","How do I register a new Service Provider","Mail Server","3.9.0"
"To auto-load pre-configured SSO templates for popular providers.","Why does Known Providers dropdown contain Google Workspace","Mail Server","3.9.0"
"Edit the provider and set Active → Yes/No.","How can I activate or deactivate an SSO provider","Mail Server","3.9.0"
"SAML requires secure endpoints for Assertion Consumer Service.","Why does ACS URL require HTTPS","Mail Server","3.9.0"
"a. Click the Edit (green pencil) icon
b. Modify required fields
c. Click Update","How do I update an existing SSO provider","Mail Server","3.9.0"
"To clearly indicate that the action permanently removes the SSO entry.","Why does the delete icon show red trash","Mail Server","3.9.0"
"Click the Certificate button in the Identity Provider section.","How do I download SSO certificates","Mail Server","3.9.0"
"It uniquely identifies the service provider during SAML authentication.","Why is an Entity ID required","Mail Server","3.9.0"
"Check the Active column (“Yes” displayed in green).","How do I verify whether an SSO provider is active","Mail Server","3.9.0"
"Without it, SAML cannot redirect users after authentication.","Why is the ACS URL field mandatory","Mail Server","3.9.0"
"Click the red delete icon in the Actions column.","How do I remove an SSO provider","Mail Server","3.9.0"
"To allow custom naming for internal identification.","Why is the Name field editable","Mail Server","3.9.0"
"Leave Known Providers unselected and enter details manually.","How do I use a custom provider not in “Known Providers”","Mail Server","3.9.0"
"Hover over the field or click inside the input to scroll","How do I view full ACS URL if it is long","Mail Server","3.9.0"
"Some mail systems enforce single-active SSO routing for security.","Why is only one SSO provider allowed to be active","Mail Server","3.9.0"
"a. The recipient server is limiting incoming SMTP connections.
b. Reduce your sending rate or configure Ratelimit.
c. Reprocess the message after a delay.","What does the “Too many connections” delay reason indicate","Mail Server","3.9.0"
"a. CPU Load shows real-time load, not historical usage.
b. If traffic is low or idle, the load remains 0%.
c. Verify CPU Usage graph to confirm if processing spikes appear.","Why is the CPU Load showing 0% even though the firewall is active","Firewall","11"
"a. Open Dashboard → System.
b. Look at the CPU Usage graph for real-time activity.
c. Compare with the CPU Load tile for instantaneous load.","How can I check detailed CPU usage in the System Dashboard","Firewall","11"
"a. No data transfer is happening at the moment.
b. Check if WAN/ISP link is active under Internet Link.
c. Review logs under Reports to verify traffic activity.","Why is the I/O Usage graph blank","Firewall","11"
"a. Check Memory graph under Dashboard.
b. Look for constant peaks near 100%.
c. Review running services under Admin → Service Restart if needed.","How do I verify if the firewall’s memory is under stress","Firewall","11"
"a. High swap indicates RAM pressure.
b. Restart inactive services under the Services section.
c. Review user traffic under Live Users.","What should I do if Swap Memory usage is consistently high","Firewall","11"
"a. The web interface (admin panel) runs using this service.
b. It indicates the GUI is active.
c. Do not turn it off unless under expert guidance.","Why does the Web Server service show “On”","Firewall","11"
"a. Scroll to Service Restart section.
b. Click the Restart option below ""Web Server"".
c. The GUI will reload automatically.","How do I restart the Web Server from the Dashboard","Firewall","11"
"a. PPTP is disabled by default for security reasons.
b. Enable it only if PPTP-based VPN is required.
c. Go to VPN settings to configure it.","Why is the PPTP service showing “Off”","Firewall","11"
"a. Under Services, locate DNS/DHCP.
b. Toggle the switch to ""On"".
c. Restart if prompted.","How do I enable DNS/DHCP from the Dashboard","Firewall","11"
"a. Shows how long the appliance has been running without reboot.
b. Helps diagnose stability.
c. Long uptime (100+ days) indicates system health.","What does “System Uptime” indicate","Firewall","11"
"a. Review CPU Load
b. Check Memory & Swap Memory
c. Inspect I/O Usage for disk bottlenecks.","How can I check if the system has performance issues","Firewall","11"
"a. No sudden memory spikes.
b. System is stable.
c. Review user activity if expecting usage.","Why is the Memory graph flat","Firewall","11"
"a. DNS/DHCP button may turn Off automatically.
b. Restart from Service Restart section.
c. Check DHCP logs under Reports.","How do I know if DNS/DHCP failed","Firewall","11"
"a. Scroll to Service Restart section.
b. Restart individual services manually.
c. A full restart can be done via Admin → System.","How can I restart all services from the Dashboard","Firewall","11"
"a. Disk read/write is currently idle.
b. Normal behavior during low traffic.
c. Run reports or speed test to generate activity.","Why is I/O Usage stuck at 0%","Firewall","11"
"a. ISP3 is not configured or is turned off.
b. Enable it from WAN Settings.
c. Check cable or modem connection.","Why does the ISP3 graph show “Disable”","Firewall","11"
"a. Open Dashboard → Internet Link.
b. Under ISP1, check Download and Upload counters.
c. Data is shown for current day only.","How do I identify data consumed today for ISP1","Firewall","11"
"a. ISP2 is connected but not being used.
b. Load balancing may be routing traffic to ISP1.
c. Check policy under UTM Config.","Why does ISP2 show 0 KB usage","Firewall","11"
"a. Updated every few seconds automatically.
b. “Speed calculation with average is done on 5 seconds.”
c. No manual refresh required.","How often is the ISP usage updated","Firewall","11"
"a. Check the 3G/4G widget.
b. If showing “Disable,” backup SIM isn't configured.
c. Configure it under WAN settings.","How can I verify if 3G/4G backup link is active","Firewall","11"
"a. No internet activity during the displayed time window.
b. Expand time window by refreshing.
c. Check if firewall is routing traffic.","Why is the ISP graph not showing download/upload lines","Firewall","11"
"a. Disconnect primary ISP.
b. Monitor ISP2/ISP3 widgets for activity.
c. Check live logs for failover confirmation.","How do I test failover for ISP links","Firewall","11"
"a. No active authenticated users.
b. The system may be in bridge mode.
c. Users may be behind PPPoE or VLAN.","Why am I seeing “No records found” under Live Users","Firewall","11"
"a. Go to Live Users.
b. Use Select Policy dropdown.
c. Click search to filter.","How do I filter live users by policy","Firewall","11"
"a. System uses bits for consistency with ISP units.
b. 1 Byte = 8 bits.","Why is live speed for users shown in bits instead of bytes","Firewall","11"
"a. Click the Pause button on the right top.
b. All active sessions will be temporarily suspended.","How can I pause all live users","Firewall","11"
"a. Real-time active socket connections per user.
b. Helps detect abnormal behavior.","What does “Live Connections” show","Firewall","11"
"a. User did not authenticate.
b. Session is not logged due to idle connection.","Why does the login time field show as blank","Firewall","11"
"a. Check Internet Data Used section.
b. “Today” column lists traffic consumed on the same date.","How do I monitor Today's Data Used","Firewall","11"
"a. Test is from firewall to internet, not device to internet.
b. Device speed may differ due to LAN performance.",". Why does the speed test show lower speed than my laptop","Firewall","11"
"a. No ISP selected.
b. Choose ISP1, ISP2, or ISP3 first.","Why is the “Submit” button disabled","Firewall","11"
"a. A loading bar or progress indicator appears.
b. Disable navigation until test completes.","How can I confirm if the speed test is running","Firewall","11"
"a. Check WAN connectivity.
b. Verify DNS under Dashboard services.
c. Review logs under Reports.","What do I do if speed tests fail on all ISP links","Firewall","11"
"a. ISP2 may be down.
b. Speed test server not reachable.
c. Verify WAN cable or modem.","Why does speed test for ISP2 show 0 Mbps","Firewall","11"
"a. Use browser refresh.
b. System auto-updates metrics every few seconds.","How can I refresh system metrics","Firewall","11"
"a. Firewall is stable and hasn't rebooted.
b. Normal behavior.","Why is uptime extremely high (100+ days)","Firewall","11"
"a. Go to Reports.
b. Open System Logs.
c. Filter CPU, memory, or service events.","How do I check logs for system performance issues","Firewall","11"
"a. CPU spikes at that moment.
b. Browser cache heavy.
c. Restart Web Server.","Why is the interface loading slowly","Firewall","11"
"a. DNS/DHCP service should be On.
b. Run a speed test (DNS required).
c. Review DNS logs.","How do I know if DNS is functioning","Firewall","11"
"a. Browser cache issue.
b. Force refresh (CTRL+F5).
c. Ensure Web Server is not overloaded.","Why is the Dashboard showing outdated data","Firewall","11"
"a. Check color status (green = On).
b. Check uptime of individual service statuses.","How do I verify if firewall services restarted successfully","Firewall","11"
"a. High CPU Load
b. High Memory + Swap usage
c. High I/O Usage","How do I spot hardware bottlenecks on Dashboard","Firewall","11"
"a. Service not set to autostart.
b. Enable autostart in settings.","Why does the firewall show DNS/DHCP OFF after reboot","Firewall","11"
"a. Allows restarting Web Server, DNS/DHCP, PPTP.
b. Used for troubleshooting service-level issues.","What does “Service Restart” section do","Firewall","11"
"a. Internal traffic not routed to that ISP.
b. Load balancing may be favoring other links.","Why does Internet Link show no data even during browsing","Firewall","11"
"a. Inspect ISP usage charts.
b. Review Live Users.
c. Check I/O Usage.","How do I identify heavy traffic usage on the firewall","Firewall","11"
